,baindi,bacode,baname,baid,usfirm
0,B,1,,A.L.O.  ,1
1,B,1,ABACO CASA DE BOLSA                     ,ABACO   ,0
2,A,1,FITZGERALD         J                    ,,1
3,A,1,FITZGERALD         J                    ,,0
4,B,2,ALGEMENE BANK OF THE NETHERLANDS        ,ABN     ,1
5,B,2,ALGEMENE BANK OF THE NETHERLANDS        ,ABN     ,0
6,A,2,KRUEGER                                 ,,1
7,A,2,KRUEGER                                 ,,0
8,B,3,"ADAMS HARKNESS, INC.                    ",ADAMS   ,1
9,B,3,"ADAMS HARKNESS, INC.                    ",ADAMS   ,0
10,A,3,DUBOIS             C                    ,,1
11,A,3,DUBOIS             C                    ,,0
12,B,4,ADVEST INC.                             ,ADVEST  ,1
13,B,4,ADVEST INC.                             ,ADVEST  ,0
14,A,4,CUMMING            V                    ,,1
15,A,4,CUMMING            V                    ,,0
16,B,5,AFFARSVARLDEN                           ,AFV     ,1
17,B,5,AFFARSVARLDEN                           ,AFV     ,0
18,A,5,MCALINDEN          J                    ,,1
19,A,5,MCALINDEN          J                    ,,0
20,B,6,,ALBERTIN,1
21,B,6,,ALBERTIN,0
22,A,6,CLIENT HOLDINGS                         ,,1
23,A,6,CLIENT HOLDINGS                         ,,0
24,B,7,BANCA ALETTI & C. SPA                   ,ALETTI  ,0
25,B,7,DEUTSCHE BANK ALEX BROWN-US             ,ALEX    ,1
26,A,7,GOODMAN            P                    ,,1
27,A,7,GOODMAN            P                    ,,0
28,B,8,ALLIANCE CAPITAL MANAGEMENT             ,ALLIANCE,1
29,B,8,DEUTSCHE BANK ALEX BROWN-US             ,ALEX    ,0
30,A,8,GILLARD            W                    ,,1
31,A,8,GILLARD            W                    ,,0
32,B,9,,AMBROSIA,1
33,A,9,DOERFLINGER                             ,,1
34,A,9,DOERFLINGER                             ,,0
35,B,10,,AMBROSIA,0
36,B,10,,ANANTHA ,1
37,B,11,ABN AMRO                                ,AMRO    ,0
38,B,11,ARGUS RESEARCH CORP.                    ,ARGUS   ,1
39,A,11,F. DESCENZA        D                    ,,1
40,A,11,F. DESCENZA        D                    ,,0
41,B,12,NORDEA SECURITIES                       ,AROS    ,1
42,A,12,ROMM               M                    ,,1
43,A,12,ROMM               M                    ,,0
44,B,13,,ATLANCAP,1
45,B,13,ARGUS RESEARCH CORP.                    ,ARGUS   ,0
46,A,13,GOLDMAN            E                    ,,1
47,A,13,GOLDMAN            E                    ,,0
48,B,14,ATLANFIN                                ,ATLANFIN,1
49,A,14,CORNWELL           R                    ,,1
50,A,14,CORNWELL           R                    ,,0
51,B,14,NORDEA SECURITIES                       ,AROS    ,0
52,B,15,ATLANFIN                                ,ATLANFIN,0
53,B,15,ATLANTIS INVESTMENT CO.                 ,ATLANTIS,1
54,A,15,THOMPSON           A                    ,,1
55,A,15,THOMPSON           A                    ,,0
56,A,16,BERNSTEIN          F                    ,,1
57,A,16,BERNSTEIN          F                    ,,0
58,B,16,"PRUDENTIAL EQUITY GROUP, LLC            ",BACHE   ,1
59,B,17,,BACHECAN,1
60,B,17,"PRUDENTIAL EQUITY GROUP, LLC            ",BACHE   ,0
61,A,17,WALLER             L                    ,,1
62,A,17,WALLER             L                    ,,0
63,B,18,,BACHECAN,0
64,B,18,BNP PARIBAS EQUITIES (AUSTRALIA) LIMITED,BACHEINT,1
65,A,18,SMITH              S                    ,,1
66,A,18,SMITH              S                    ,,0
67,B,19,BNP PARIBAS EQUITIES (AUSTRALIA) LIMITED,BACHEINT,0
68,B,19,DEUTSCHE BANK SECURITIES                ,BAIN    ,1
69,A,19,HICKEY             J                    ,,1
70,A,19,HICKEY             J                    ,,0
71,B,20,DEUTSCHE BANK SECURITIES                ,BAIN    ,0
72,A,20,EL. HICKEY                              ,,1
73,A,20,EL. HICKEY                              ,,0
74,B,20,"ROBERT W. BAIRD & CO., INC.             ",BAIRD   ,1
75,A,21,ADLER              R                    ,,1
76,A,21,ADLER              R                    ,,0
77,B,21,DEUTSCHE BANK AG                        ,BANKERS ,1
78,B,21,"ROBERT W. BAIRD & CO., INC.             ",BAIRD   ,0
79,B,22,BANK VONTOBEL AG                        ,BANKVONT,1
80,A,22,BATTIPAGLIA        J                    ,,1
81,A,22,BATTIPAGLIA        J                    ,,0
82,B,22,DEUTSCHE BANK AG                        ,BANKERS ,0
83,B,23,,BANQPRIV,1
84,B,23,BANK VONTOBEL AG                        ,BANKVONT,0
85,A,23,KIESELMANN         G                    ,,1
86,A,23,KIESELMANN         G                    ,,0
87,B,24,,BARING  ,1
88,B,24,,BARING  ,0
89,A,24,MALDUTIS           J                    ,,1
90,A,24,MALDUTIS           J                    ,,0
91,B,25,BATEMAN                                 ,BATEMAN ,1
92,A,25,WILLIAMS           C                    ,,1
93,A,25,WILLIAMS           C                    ,,0
94,B,26,GEORGE K. BAUM & CO.                    ,BAUM    ,1
95,B,26,GEORGE K. BAUM & CO.                    ,BAUM    ,0
96,A,26,ZIEGLER            J                    ,,1
97,A,26,ZIEGLER            J                    ,,0
98,B,27,"BEAR, STEARNS & CO.                     ",BEAR    ,0
99,A,27,PODBELSEK          F                    ,,1
100,A,27,PODBELSEK          F                    ,,0
101,B,27,VERMEULEN-RAEMDONCK (ING-BARINGS)       ,BBL     ,1
102,B,28,"BEAR, STEARNS & CO.                     ",BEAR    ,1
103,B,28,BELEGGERS BELANGEN                      ,BELEGGER,0
104,A,28,KING               B                    ,,1
105,A,28,KING               B                    ,,0
106,B,29,"SANFORD C. BERNSTEIN & CO., LLC         ",BERN    ,1
107,B,29,"SANFORD C. BERNSTEIN & CO., LLC         ",BERN    ,0
108,A,29,SMITH              K                    ,,1
109,A,29,SMITH              K                    ,,0
110,B,30,BHF-BANK                                ,BHFBANK ,1
111,B,30,BHF-BANK                                ,BHFBANK ,0
112,A,30,WILDER             L                    ,,1
113,A,30,WILDER             L                    ,,0
114,A,31,EPPERSON JR        W                    ,,1
115,A,31,EPPERSON JR        W                    ,,0
116,B,31,"WILLIAM BLAIR & COMPANY, L.L.C.         ",BLAIR   ,1
117,B,31,"WILLIAM BLAIR & COMPANY, L.L.C.         ",BLAIR   ,0
118,B,32,BLUNT                                   ,BLUNT   ,1
119,B,32,BLUNT                                   ,BLUNT   ,0
120,A,32,SUPINSKI                                ,,1
121,A,32,SUPINSKI                                ,,0
122,B,33,,BOETTCH ,1
123,A,33,FLEISS             K                    ,,1
124,A,33,FLEISS             K                    ,,0
125,B,33,J. C. BRADFORD & CO.                    ,BRADFORD,0
126,B,34,"BREAN MURRAY, CARRET & CO.              ",BREAN   ,0
127,B,34,J. C. BRADFORD & CO.                    ,BRADFORD,1
128,A,34,THRASHER           S                    ,,1
129,A,34,THRASHER           S                    ,,0
130,B,35,"BREAN MURRAY, CARRET & CO.              ",BREAN   ,1
131,B,35,HSBC SECURITIES                         ,BROBALD ,0
132,A,35,KLING              C                    ,,1
133,A,35,KLING              C                    ,,0
134,B,36,BROWN BROTHERS HARRIMAN & CO.           ,BROWNBRO,0
135,B,36,HSBC SECURITIES                         ,BROBALD ,1
136,A,36,WOODYATT           D                    ,,1
137,A,36,WOODYATT           D                    ,,0
138,B,37,,BTPCG   ,0
139,B,37,BROWN BROTHERS HARRIMAN & CO.           ,BROWNBRO,1
140,A,37,LAFFERTY           J                    ,,1
141,A,37,LAFFERTY           J                    ,,0
142,B,38,,BTPCG   ,1
143,B,38,BUCKINGHAM RESEARCH                     ,BUCK    ,0
144,A,38,HOSP SUPPLIES                           ,,1
145,A,38,HOSP SUPPLIES                           ,,0
146,B,39,,BUCKMAST,0
147,B,39,BUCKINGHAM RESEARCH                     ,BUCK    ,1
148,A,39,MEDICAL SERVICE &                       ,,1
149,A,39,MEDICAL SERVICE &                       ,,0
150,B,40,,BUCKMAST,1
151,A,40,HOSP-TECH                               ,,1
152,A,40,HOSP-TECH                               ,,0
153,B,40,UBS WARBURG INC.                        ,BUNTING ,0
154,B,41,BMO CAPITAL MARKETS-CANADA              ,BURNS   ,0
155,B,41,UBS WARBURG INC.                        ,BUNTING ,1
156,A,41,WEBB               L                    ,,1
157,A,41,WEBB               L                    ,,0
158,B,42,,BUTCHER ,0
159,B,42,BMO CAPITAL MARKETS-CANADA              ,BURNS   ,1
160,A,42,OSGOOD             J                    ,,1
161,A,42,OSGOOD             J                    ,,0
162,B,43,,BUSH    ,1
163,A,43,JV. NOBLE                               ,,1
164,A,43,JV. NOBLE                               ,,0
165,B,43,UBS                                     ,BUTTWILS,0
166,B,44,,BUTCHER ,1
167,B,44,,BWILSON ,0
168,A,44,ABRAMOWITZ         K                    ,,1
169,A,44,ABRAMOWITZ         K                    ,,0
170,B,45,ABN AMRO SECURITIES (AUSTRALIA)         ,BZW     ,0
171,A,45,GOLDMAN            B                    ,,1
172,A,45,GOLDMAN            B                    ,,0
173,B,45,UBS                                     ,BUTTWILS,1
174,B,46,,BVFIN   ,1
175,A,46,FEINBERG           L                    ,,1
176,A,46,FEINBERG           L                    ,,0
177,B,46,"RAGEN MACKENZIE, A DIVSN OF WELLS FARGO ",CABLEHOW,0
178,B,47,,BWILSON ,1
179,B,47,CABOTO EQUITY RESEARCH                  ,CABOTO  ,0
180,A,47,TRACHTMAN          J                    ,,1
181,A,47,TRACHTMAN          J                    ,,0
182,A,48,BLAIR              K                    ,,1
183,A,48,BLAIR              K                    ,,0
184,B,48,HSBC (UK)                               ,CAPEL   ,0
185,B,48,"RAGEN MACKENZIE, A DIVSN OF WELLS FARGO ",CABLEHOW,1
186,A,49,FULLER             J                    ,,1
187,A,49,FULLER             J                    ,,0
188,B,49,HSBC (UK)                               ,CAPEL   ,1
189,B,49,HSBC SECURITIES JAPAN LIMITED           ,CAPELFJ ,0
190,B,50,CAPGROUP                                ,CAPGROUP,1
191,B,50,CAPGROUP                                ,CAPGROUP,0
192,A,50,ESQUIVEL           R                    ,,1
193,A,50,ESQUIVEL           R                    ,,0
194,B,51,"CAPITAL INTERNATIONAL, MORGAN STANLEY   ",CAPINTL ,1
195,B,51,"CAPITAL INTERNATIONAL, MORGAN STANLEY   ",CAPINTL ,0
196,A,51,KULJU              K                    ,,1
197,A,51,KULJU              K                    ,,0
198,B,52,,CARRWI  ,1
199,A,52,CAMPBELL           A                    ,,1
200,A,52,CAMPBELL           A                    ,,0
201,B,53,ABN AMRO INCORPORATED                   ,CHICAGO ,0
202,B,53,CHEMICAL RESEARCH FOR WALL ST.          ,CHEMRES ,1
203,A,53,WRIGHT             G                    ,,1
204,A,53,WRIGHT             G                    ,,0
205,B,54,ABN AMRO INCORPORATED                   ,CHICAGO ,1
206,A,54,MEYER              J                    ,,1
207,A,54,MEYER              J                    ,,0
208,B,54,PRUDENTIAL-BACHE INT'L (HONG KONG)      ,CHINTUNG,0
209,B,55,CLSE - GROUP ODDO                       ,CHOLET  ,0
210,B,55,PRUDENTIAL-BACHE INT'L (HONG KONG)      ,CHINTUNG,1
211,A,55,WILLARD            M                    ,,1
212,A,55,WILLARD            M                    ,,0
213,B,56,,CITESPAN,0
214,B,56,CLSE - GROUP ODDO                       ,CHOLET  ,1
215,A,56,LEMAITRE                                ,,1
216,A,56,LEMAITRE                                ,,0
217,B,57,,CHRISTFD,1
218,B,57,,CITIAG  ,0
219,A,57,DICKSON            C                    ,,1
220,A,57,DICKSON            C                    ,,0
221,B,58,,CITIAG  ,1
222,B,58,CHANCELLOR CAPITAL MANAGEMENT           ,CITIBANK,0
223,A,58,MARTORELLI         M                    ,,1
224,A,58,MARTORELLI         M                    ,,0
225,B,59,,CLARKVIC,0
226,A,59,ALON               R                    ,,1
227,A,59,ALON               R                    ,,0
228,B,59,CHANCELLOR CAPITAL MANAGEMENT           ,CITIBANK,1
229,B,60,,CLARKVIC,1
230,A,60,SAMMON             W                    ,,1
231,A,60,SAMMON             W                    ,,0
232,B,60,TUCKER ANTHONY SUTRO CAPITAL MARKETS    ,CLEARY  ,0
233,B,61,,CLIENT  ,0
234,A,61,OLWELL             L                    ,,1
235,A,61,OLWELL             L                    ,,0
236,B,61,TUCKER ANTHONY SUTRO CAPITAL MARKETS    ,CLEARY  ,1
237,B,62,,CLIENT  ,1
238,B,62,OYENS & VAN EEGHEN                      ,CLN     ,0
239,A,62,S. YAFFE           L                    ,,1
240,A,62,S. YAFFE           L                    ,,0
241,A,63,A BROOKE           P                    ,,1
242,A,63,A BROOKE           P                    ,,0
243,B,63,CONNING & CO.                           ,CNNING  ,0
244,B,63,OYENS & VAN EEGHEN                      ,CLN     ,1
245,B,64,COMPANY'S ESTIMATE                      ,COMPANY ,0
246,B,64,CONNING & CO.                           ,CNNING  ,1
247,A,64,K. SHAH            H                    ,,1
248,A,64,K. SHAH            H                    ,,0
249,B,65,,COPENHAN,0
250,B,65,COMMERZBANK GLOBAL EQUITIES             ,COMMERZB,1
251,A,65,MCCOMBS            T                    ,,1
252,A,65,MCCOMBS            T                    ,,0
253,B,66,COMPANY'S ESTIMATE                      ,COMPANY ,1
254,B,66,COUNTNAT                                ,COUNTNAT,0
255,A,66,LOTHSON                                 ,,1
256,A,66,LOTHSON                                 ,,0
257,B,67,CITIGROUP                               ,COUNTY  ,1
258,B,67,CITIGROUP                               ,COUNTY  ,0
259,A,67,FROELICH           E                    ,,1
260,A,67,FROELICH           E                    ,,0
261,B,68,NATWEST SECURITIES (USA) CORP           ,COUNTYNY,1
262,B,68,NATWEST SECURITIES (USA) CORP           ,COUNTYNY,0
263,A,68,SHAW               S                    ,,1
264,A,68,SHAW               S                    ,,0
265,B,69,CA IB INVESTMENTBANK AG                 ,CREDIT  ,1
266,B,69,CA IB INVESTMENTBANK AG                 ,CREDIT  ,0
267,A,69,SCHWARTZ           L                    ,,1
268,A,69,SCHWARTZ           L                    ,,0
269,A,70,FRANCE             J                    ,,1
270,A,70,FRANCE             J                    ,,0
271,B,70,TIAA-CREF                               ,CREF    ,1
272,B,70,TIAA-CREF                               ,CREF    ,0
273,B,71,,CROCKER ,1
274,B,71,"CROWELL, WEEDON & CO.                   ",CROWELL ,0
275,A,71,SAFTLAS            H                    ,,1
276,A,71,SAFTLAS            H                    ,,0
277,B,72,,CUREMYER,0
278,B,72,"CROWELL, WEEDON & CO.                   ",CROWELL ,1
279,A,72,SASIC              G                    ,,1
280,A,72,SASIC              G                    ,,0
281,B,73,,CUREMYER,1
282,A,73,CARROLL            J                    ,,1
283,A,73,CARROLL            J                    ,,0
284,B,73,RBC CAPITAL MARKETS (US)                ,DAIN    ,0
285,B,74,DAEWOO SECURITIES                       ,DAEWOO  ,1
286,B,74,DAIWA INSTITUTE OF RESEARCH             ,DAIWA   ,0
287,A,74,LIDDY              G                    ,,1
288,A,74,LIDDY              G                    ,,0
289,B,75,DAFSA                                   ,DAFSA   ,1
290,B,75,HSBC SECURITIES                         ,DALY    ,0
291,A,75,KERR               H                    ,,1
292,A,75,KERR               H                    ,,0
293,B,76,DATABANK SPA-DIVISIONE SASIP            ,DATABANK,0
294,B,76,RBC CAPITAL MARKETS (US)                ,DAIN    ,1
295,A,76,TOPP               B                    ,,1
296,A,76,TOPP               B                    ,,0
297,B,77,D. A. DAVIDSON & CO.                    ,DAVIDSON,0
298,B,77,DAIWA INSTITUTE OF RESEARCH             ,DAIWA   ,1
299,A,77,HAY-ROE            R                    ,,1
300,A,77,HAY-ROE            R                    ,,0
301,B,78,HSBC SECURITIES                         ,DALY    ,1
302,A,78,SAUNDERS           H                    ,,1
303,A,78,SAUNDERS           H                    ,,0
304,B,79,D. A. DAVIDSON & CO.                    ,DAVIDSON,1
305,B,79,DUNDEE SECURITIES CORPORATION           ,DEACON  ,0
306,A,79,MILLER             M                    ,,1
307,A,79,MILLER             M                    ,,0
308,B,80,DEUTSCHE BANK SECURITIES                ,DEGAB   ,0
309,B,80,"THOMPSON, DAVIS, & CO.                  ",DAVIS   ,1
310,B,81,DEWAAY SERVAIS & CIE S.C.S.             ,DEWAAY  ,0
311,B,81,DUNDEE SECURITIES CORPORATION           ,DEACON  ,1
312,A,81,KURLAND            M                    ,,1
313,A,81,KURLAND            M                    ,,0
314,B,82,DEUTSCHE BANK SECURITIES                ,DEGAB   ,1
315,B,82,DIDIER PHILIPPE                         ,DIDIERPH,0
316,A,82,DUNCANSON          J                    ,,1
317,A,82,DUNCANSON          J                    ,,0
318,B,83,DEWAAY SERVAIS & CIE S.C.S.             ,DEWAAY  ,1
319,A,83,KELERTAS           R                    ,,1
320,A,83,KELERTAS           R                    ,,0
321,B,83,UBS (US)                                ,DILLREAD,0
322,B,84,DIDIER PHILIPPE                         ,DIDIERPH,1
323,B,84,"DONALDSON, LUFKIN & JENRETTE SECURITIE  ",DLJ     ,0
324,A,84,DUNCAN             R                    ,,1
325,A,84,DUNCAN             R                    ,,0
326,B,85,DNB NOR MARKETS                         ,DNC     ,0
327,A,85,EMBURY                                  ,,1
328,A,85,EMBURY                                  ,,0
329,B,85,UBS (US)                                ,DILLREAD,1
330,B,86,"DONALDSON, LUFKIN & JENRETTE SECURITIE  ",DLJ     ,1
331,A,86,KILROY             R                    ,,1
332,A,86,KILROY             R                    ,,0
333,B,86,R B C DOMINION SECURITIES               ,DOMPIT  ,0
334,B,87,,DREXEL  ,0
335,A,87,PUUSEPP            J                    ,,1
336,A,87,PUUSEPP            J                    ,,0
337,B,87,R B C DOMINION SECURITIES               ,DOMPIT  ,1
338,B,88,DRESDNER BANK AG                        ,DRESDNER,1
339,A,88,JOHNSON            J                    ,,1
340,A,88,JOHNSON            J                    ,,0
341,B,88,"PHOENIX DUFF & PHELPS, INC.             ",DUFF    ,0
342,B,89,,DREXEL  ,1
343,B,89,ANZ SECURITIES LIMITED                  ,DYSON   ,0
344,A,89,SMYTH              D                    ,,1
345,A,89,SMYTH              D                    ,,0
346,B,90,,EBER    ,0
347,A,90,MARCUS                                  ,,1
348,A,90,MARCUS                                  ,,0
349,B,90,"PHOENIX DUFF & PHELPS, INC.             ",DUFF    ,1
350,B,91,"A. G. EDWARDS & SONS, INC.              ",EDWARDS ,0
351,B,91,ANZ SECURITIES LIMITED                  ,DYSON   ,1
352,A,91,P. BISNO           A                    ,,1
353,A,91,P. BISNO           A                    ,,0
354,B,92,,EBER    ,1
355,A,92,SCHNABEL           K                    ,,1
356,A,92,SCHNABEL           K                    ,,0
357,B,93,,EBERINTL,1
358,B,93,SUNTRUST EQUITABLE SECURITIES           ,EQUITSEC,0
359,A,93,XYZ                                     ,,1
360,A,93,XYZ                                     ,,0
361,B,94,"A. G. EDWARDS & SONS, INC.              ",EDWARDS ,1
362,A,94,FOLINO             A                    ,,1
363,B,94,OPPENHEIMER & CO.                       ,FAHN    ,0
364,B,95,ENSKILDA SECURITIES (FRANCE)            ,ENSKILDA,1
365,B,95,FAUCHIER-MAGNAN DURANT DES AULNOIS S.A  ,FAUCHIER,0
366,A,95,LUSTGARTEN                              ,,1
367,A,95,LUSTGARTEN                              ,,0
368,B,96,,FBOSTINT,0
369,A,96,JB. BRUMLEY                             ,,1
370,A,96,JB. BRUMLEY                             ,,0
371,B,96,SUNTRUST EQUITABLE SECURITIES           ,EQUITSEC,1
372,B,97,,EUROSPA ,1
373,B,97,CREDIT SUISSE - NORTH AMERICA           ,FBOSTON ,0
374,A,97,DRAKE              T                    ,,1
375,A,97,DRAKE              T                    ,,0
376,B,98,OPPENHEIMER & CO.                       ,FAHN    ,1
377,A,98,SPEC MERCHAND                           ,,1
378,A,98,SPEC MERCHAND                           ,,0
379,B,99,,FIPACIFI,0
380,B,99,FAUCHIER-MAGNAN DURANT DES AULNOIS S.A  ,FAUCHIER,1
381,A,99,SOUTHARD           K                    ,,1
382,A,99,SOUTHARD           K                    ,,0
383,B,100,CREDIT SUISSE - NORTH AMERICA           ,FBOSTON ,1
384,B,100,FIRST ANALYSIS SECURITIES CORP          ,FIRSANAL,0
385,A,100,GARNET             A                    ,,1
386,B,101,,FERRIS  ,1
387,B,101,FIRST ALBANY CORP.                      ,FIRSTALB,0
388,B,102,,FIELDNEW,1
389,A,102,CARR               C                    ,,1
390,A,102,CARR               C                    ,,0
391,B,102,CHASE RESEARCH                          ,FLEMINGS,0
392,B,103,,FIPACIFI,1
393,A,103,ANDERSON           A                    ,,1
394,A,103,ANDERSON           A                    ,,0
395,B,103,FIRST MANHATTAN COMPANY                 ,FMANHAT ,0
396,A,104,DOUGHERTY/B MASC   J                    ,,1
397,A,104,DOUGHERTY/B MASC   J                    ,,0
398,B,104,FIRST ALBANY CORP.                      ,FIRSTALB,1
399,B,104,"FIRST MARATHON SECURITIES, LTD          ",FMARATH ,0
400,B,105,CHASE RESEARCH                          ,FLEMINGS,1
401,B,105,FONDSFINANS ASA                         ,FONDSFIN,0
402,A,105,J. RITGER          W                    ,,1
403,A,105,J. RITGER          W                    ,,0
404,B,106,FIRST MANHATTAN COMPANY                 ,FMANHAT ,1
405,A,106,JE. LAIRD                               ,,1
406,A,106,JE. LAIRD                               ,,0
407,B,107,"FIRST MARATHON SECURITIES, LTD          ",FMARATH ,1
408,B,107,FOURTEEN RESEARCH CORP.                 ,FOURTEEN,0
409,A,107,LARSEN             T                    ,,1
410,A,107,LARSEN             T                    ,,0
411,B,108,,FOSTER  ,1
412,A,108,BEATON             L                    ,,1
413,A,108,BEATON             L                    ,,0
414,B,108,FOX-PITT KELTON                         ,FOXPITT ,0
415,B,109,ABN AMRO                                ,FRANCOIS,0
416,A,109,BROWN              P                    ,,1
417,A,109,BROWN              P                    ,,0
418,B,109,FOURTEEN RESEARCH CORP.                 ,FOURTEEN,1
419,B,110,FOX-PITT KELTON                         ,FOXPITT ,1
420,B,110,ING FINANCIAL MARKETS                   ,FURMAN  ,0
421,A,110,ZIMMERMAN          J                    ,,1
422,A,110,ZIMMERMAN          J                    ,,0
423,B,111,ABN AMRO                                ,FRANCOIS,1
424,B,111,GARDINER                                ,GARDINER,0
425,A,111,HAIMOVITCH         L                    ,,1
426,A,111,HAIMOVITCH         L                    ,,0
427,B,112,ING FINANCIAL MARKETS                   ,FURMAN  ,1
428,A,112,ROGERS                                  ,,1
429,A,112,ROGERS                                  ,,0
430,B,112,SCHWAB SOUNDVIEW CAPITAL MARKETS        ,GARTNER ,0
431,A,113,COMEAU             J                    ,,1
432,A,113,COMEAU             J                    ,,0
433,B,113,GARDINER                                ,GARDINER,1
434,B,113,RAIFFEISEN CENTROBANK                   ,GENOSSEN,0
435,A,114,BRANNON            P                    ,,1
436,A,114,BRANNON            P                    ,,0
437,B,114,"GESCAPITAL, S.A.                        ",GESCAP  ,0
438,B,114,SCHWAB SOUNDVIEW CAPITAL MARKETS        ,GARTNER ,1
439,B,115,BRIDGEWELL SECURITIES                   ,GILBERT ,0
440,A,115,LAUER              M                    ,,1
441,A,115,LAUER              M                    ,,0
442,B,115,RAIFFEISEN CENTROBANK                   ,GENOSSEN,1
443,B,116,BRIDGEWELL SECURITIES                   ,GILBERT ,1
444,B,116,GIROZENTRALE CAPITAL MANAGEMENT         ,GIROZENT,0
445,A,116,SUPPLE             G                    ,,1
446,A,116,SUPPLE             G                    ,,0
447,B,117,,GOEFF   ,0
448,B,117,GIROZENTRALE CAPITAL MANAGEMENT         ,GIROZENT,1
449,A,117,HARVEY             A                    ,,1
450,B,118,GOLDMAN SACHS                           ,GOLDINTL,0
451,B,118,GOLDMAN SACHS & CO.                     ,GOLDMAN ,1
452,A,118,PICKLER            J                    ,,1
453,A,118,PICKLER            J                    ,,0
454,B,119,,GOODE   ,1
455,B,119,GOLDMAN SACHS & CO.                     ,GOLDMAN ,0
456,A,119,KITTLER            F                    ,,1
457,A,119,KITTLER            F                    ,,0
458,B,120,,GOODE   ,0
459,B,120,,GREENWEL,1
460,A,120,KERN               D                    ,,1
461,A,120,KERN               D                    ,,0
462,B,121,,GREENWEL,0
463,B,121,,GRENFELL,1
464,A,121,CLARIDGE           D                    ,,1
465,A,121,CLARIDGE           D                    ,,0
466,B,122,COWEN & CO.                             ,GRUMMAN ,1
467,B,122,COWEN & CO.                             ,GRUMMAN ,0
468,A,122,ELIJAH/ROWE        R                    ,,1
469,A,122,ELIJAH/ROWE        R                    ,,0
470,B,123,"GRUNTAL & CO., INC.                     ",GRUNTAL ,1
471,B,123,"GRUNTAL & CO., INC.                     ",GRUNTAL ,0
472,A,123,ROSS               G                    ,,1
473,A,123,ROSS               G                    ,,0
474,A,124,ELECTRONICS                             ,,1
475,A,124,ELECTRONICS                             ,,0
476,B,124,GUDME RAASCHOU BANK                     ,GUDME   ,1
477,B,124,GUDME RAASCHOU BANK                     ,GUDME   ,0
478,B,125,CHASE H&Q                               ,HAMQUIST,1
479,B,125,CHASE H&Q                               ,HAMQUIST,0
480,A,125,MOREAU             T                    ,,1
481,A,125,MOREAU             T                    ,,0
482,B,126,HARRIS TRUST                            ,HARRIS  ,1
483,B,126,HARRIS TRUST                            ,HARRIS  ,0
484,A,126,WILSEY             T                    ,,1
485,A,126,WILSEY             T                    ,,0
486,B,127,GEORG HAUCK & SOHN BANKIERS             ,HAUCK   ,1
487,B,127,GEORG HAUCK & SOHN BANKIERS             ,HAUCK   ,0
488,A,127,MORRISON           C                    ,,1
489,A,127,MORRISON           C                    ,,0
490,B,128,"DARIER, HENTSCH & CIE                   ",HENTSCH ,1
491,B,128,"DARIER, HENTSCH & CIE                   ",HENTSCH ,0
492,A,128,SOETEBIER          D                    ,,1
493,A,128,SOETEBIER          D                    ,,0
494,B,129,,HICKS   ,1
495,B,129,,HICKS   ,0
496,A,129,SCHOPICK           A                    ,,1
497,A,129,SCHOPICK           A                    ,,0
498,B,130,ABN AMRO                                ,HOARE   ,1
499,B,130,ABN AMRO                                ,HOARE   ,0
500,A,130,J. SWENSON         A                    ,,1
501,B,131,DAO HENG SECURITIES LTD.                ,HONGLEON,1
502,B,131,DAO HENG SECURITIES LTD.                ,HONGLEON,0
503,A,131,KAWA               J                    ,,1
504,A,131,KAWA               J                    ,,0
505,A,132,JAFFE              A                    ,,1
506,B,132,W.H. NEWBOLD'S SON/HOPPER SOLIDAY & CO  ,HOPPER  ,1
507,B,133,HOWARD WEIL INC.                        ,HOWARD  ,1
508,B,133,HOWARD WEIL INC.                        ,HOWARD  ,0
509,A,133,NOBLE                                   ,,1
510,A,133,NOBLE                                   ,,0
511,B,134,,HUTTON  ,1
512,B,134,,HUTTON  ,0
513,A,134,SCOTT              J                    ,,1
514,A,134,SCOTT              J                    ,,0
515,B,135,HYPO BANK                               ,HYPOBANK,1
516,B,135,HYPO BANK                               ,HYPOBANK,0
517,A,135,POSTEK             T                    ,,1
518,A,135,POSTEK             T                    ,,0
519,B,136,,IBERA   ,0
520,B,136,,INCORPVI,1
521,A,136,LARSON             J                    ,,1
522,A,136,LARSON             J                    ,,0
523,A,137,C KING             D                    ,,1
524,A,137,C KING             D                    ,,0
525,B,137,INGALLS & SNYDER LLC                    ,INGALLS ,1
526,B,138,INGALLS & SNYDER LLC                    ,INGALLS ,0
527,B,138,INTERFINANZ PARTNERS                    ,INTERFIN,1
528,A,138,LARSEN             J                    ,,1
529,A,138,LARSEN             J                    ,,0
530,A,138,WHITLOW            W                    ,,1
531,A,138,WHITLOW            W                    ,,0
532,B,139,,INTERST ,1
533,B,139,,INTERST ,0
534,A,139,KALBERMATTEN       T                    ,,0
535,A,139,SMITH              T                    ,,1
536,A,139,SMITH              T                    ,,0
537,B,140,AMERICAN EXPRESS FINANCIAL CORP.        ,INVEST  ,1
538,B,140,AMERICAN EXPRESS FINANCIAL CORP.        ,INVEST  ,0
539,A,140,STRAIN             C                    ,,1
540,A,140,STRAIN             C                    ,,0
541,B,141,,JACKSONS,1
542,B,141,,JACKSONS,0
543,A,141,PICCHI             B                    ,,1
544,A,141,PICCHI             B                    ,,0
545,B,142,JANNEY MONTGOMERY SCOTT LLC             ,JANNEY  ,1
